X_mm,Y_mm,Z_mm,Importancia,Plano,Corte,Label
25.915389418475336,-73.6831501097758,79.85861809578475,1.0,Sagittal,28,PF OA
27.596801214869956,-63.63557939796322,68.41574336630492,1.0,Sagittal,28,PF OA
26.27928865806278,-71.75202287727981,70.56263573999104,1.0,Sagittal,28,PF OA
26.38547352579372,-71.09011225365202,70.60718221618835,1.0,Sagittal,28,PF OA
26.49165839352466,-70.4282016300242,70.65172869238566,1.0,Sagittal,28,PF OA
26.597843261255605,-69.76629100639641,70.69627516858296,1.0,Sagittal,28,PF OA
26.704028128986543,-69.10438038276861,70.74082164478027,1.0,Sagittal,28,PF OA
26.81021299671749,-68.4424697591408,70.78536812097758,1.0,Sagittal,28,PF OA
26.916397864448427,-67.780559135513,70.82991459717489,1.0,Sagittal,28,PF OA
27.02258273217937,-67.1186485118852,70.8744610733722,1.0,Sagittal,28,PF OA
27.12876759991031,-66.4567378882574,70.91900754956951,1.0,Sagittal,28,PF OA
27.234952467641254,-65.79482726462959,70.96355402576683,1.0,Sagittal,28,PF OA
27.341137335372196,-65.13291664100178,71.00810050196414,1.0,Sagittal,28,PF OA
27.447322203103138,-64.47100601737398,71.05264697816143,1.0,Sagittal,28,PF OA
27.55350707083408,-63.80909539374618,71.09719345435875,1.0,Sagittal,28,PF OA
27.65969193856502,-63.14718477011838,71.14173993055606,1.0,Sagittal,28,PF OA
26.077742458609865,-73.03246512558968,69.80318026558295,1.0,Sagittal,28,PF OA
26.183927326340807,-72.37055450196188,69.84772674178026,1.0,Sagittal,28,PF OA
26.29011219407175,-71.70864387833407,69.89227321797757,1.0,Sagittal,28,PF OA
26.39629706180269,-71.04673325470628,69.93681969417489,1.0,Sagittal,28,PF OA
26.50248192953363,-70.38482263107846,69.9813661703722,1.0,Sagittal,28,PF OA
26.608666797264576,-69.72291200745067,70.02591264656951,1.0,Sagittal,28,PF OA
26.714851664995514,-69.06100138382287,70.0704591227668,1.0,Sagittal,28,PF OA
26.82103653272646,-68.39909076019507,70.11500559896412,1.0,Sagittal,28,PF OA
26.927221400457398,-67.73718013656726,70.15955207516143,1.0,Sagittal,28,PF OA
26.173103790331837,-72.41393350090762,70.51808926379373,1.0,Sagittal,28,PF OA
26.066918922600895,-73.07584412453542,70.47354278759641,1.0,Sagittal,28,PF OA
27.648868402556054,-63.19056376906412,71.8121024525695,1.0,Sagittal,28,PF OA
26.26846512205381,-71.79540187622555,71.23299826200449,1.0,Sagittal,28,PF OA
27.000935660161435,-67.20540650977668,72.2151861173991,1.0,Sagittal,28,PF OA
27.107120527892377,-66.54349588614888,72.25973259359641,1.0,Sagittal,28,PF OA
27.21330539562332,-65.88158526252107,72.30427906979372,1.0,Sagittal,28,PF OA
27.31949026335426,-65.21967463889327,72.34882554599103,1.0,Sagittal,28,PF OA
27.425675131085203,-64.55776401526546,72.39337202218833,1.0,Sagittal,28,PF OA
27.531859998816145,-63.895853391637665,72.43791849838564,1.0,Sagittal,28,PF OA
26.218448426726457,-72.46853813929508,61.08846747940807,1.0,Sagittal,28,PF OA
27.638044866547087,-63.23394276800986,72.48246497458295,1.0,Sagittal,28,PF OA
26.056095386591927,-73.11922312348116,71.14390530960986,1.0,Sagittal,28,PF OA
26.16228025432287,-72.45731249985336,71.18845178580717,1.0,Sagittal,28,PF OA
26.37464998978475,-71.13349125259776,71.2775447382018,1.0,Sagittal,28,PF OA
27.54268353482511,-63.852474392691924,71.7675559763722,1.0,Sagittal,28,PF OA
26.480834857515696,-70.47158062896995,71.32209121439911,1.0,Sagittal,28,PF OA
26.587019725246634,-69.80967000534216,71.3666376905964,1.0,Sagittal,28,PF OA
26.69320459297758,-69.14775938171435,71.41118416679372,1.0,Sagittal,28,PF OA
26.799389460708518,-68.48584875808655,71.45573064299103,1.0,Sagittal,28,PF OA
26.90557432843946,-67.82393813445874,71.50027711918834,1.0,Sagittal,28,PF OA
27.011759196170402,-67.16202751083094,71.54482359538565,1.0,Sagittal,28,PF OA
27.117944063901344,-66.50011688720313,71.58937007158296,1.0,Sagittal,28,PF OA
27.224128931632286,-65.83820626357533,71.63391654778027,1.0,Sagittal,28,PF OA
27.33031379936323,-65.17629563994753,71.67846302397759,1.0,Sagittal,28,PF OA
27.43649866709417,-64.51438501631972,71.72300950017488,1.0,Sagittal,28,PF OA
27.03340626818834,-67.07526951293946,70.20409855135874,1.0,Sagittal,28,PF OA
27.139591135919282,-66.41335888931165,70.24864502755605,1.0,Sagittal,28,PF OA
27.245776003650224,-65.75144826568385,70.29319150375336,1.0,Sagittal,28,PF OA
26.216397934367713,-72.24041750512465,67.8366391757399,1.0,Sagittal,28,PF OA
26.842683604744394,-68.31233276230358,68.77428055493722,1.0,Sagittal,28,PF OA
26.948868472475336,-67.65042213867578,68.81882703113453,1.0,Sagittal,28,PF OA
27.05505334020628,-66.98851151504797,68.86337350733184,1.0,Sagittal,28,PF OA
27.16123820793722,-66.32660089142017,68.90791998352915,1.0,Sagittal,28,PF OA
27.267423075668162,-65.66469026779237,68.95246645972647,1.0,Sagittal,28,PF OA
27.373607943399104,-65.00277964416456,68.99701293592378,1.0,Sagittal,28,PF OA
27.479792811130046,-64.34086902053676,69.04155941212107,1.0,Sagittal,28,PF OA
27.585977678860985,-63.67895839690896,69.08610588831839,1.0,Sagittal,28,PF OA
27.69216254659193,-63.017047773281156,69.1306523645157,1.0,Sagittal,28,PF OA
26.11021306663677,-72.90232812875246,67.7920926995426,1.0,Sagittal,28,PF OA
26.322582802098655,-71.57850688149685,67.88118565193722,1.0,Sagittal,28,PF OA
26.63031386928251,-69.63615400955919,68.68518760254261,1.0,Sagittal,28,PF OA
26.428767669829597,-70.91659625786906,67.92573212813453,1.0,Sagittal,28,PF OA
26.534952537560535,-70.25468563424124,67.97027860433184,1.0,Sagittal,28,PF OA
26.64113740529148,-69.59277501061345,68.01482508052914,1.0,Sagittal,28,PF OA
26.74732227302242,-68.93086438698565,68.05937155672645,1.0,Sagittal,28,PF OA
26.853507140753365,-68.26895376335784,68.10391803292376,1.0,Sagittal,28,PF OA
26.959692008484303,-67.60704313973004,68.14846450912107,1.0,Sagittal,28,PF OA
27.065876876215246,-66.94513251610223,68.19301098531838,1.0,Sagittal,28,PF OA
27.172061743946188,-66.28322189247443,68.23755746151569,1.0,Sagittal,28,PF OA
27.27824661167713,-65.62131126884663,68.282103937713,1.0,Sagittal,28,PF OA
27.38443147940807,-64.95940064521882,68.32665041391031,1.0,Sagittal,28,PF OA
26.736498737013456,-68.97424338593139,68.72973407873991,1.0,Sagittal,28,PF OA
26.52412900155157,-70.29806463318698,68.6406411263453,1.0,Sagittal,28,PF OA
27.351960871381166,-65.08953764205604,70.33773797995067,1.0,Sagittal,28,PF OA
26.831860068735423,-68.35571176124932,69.44464307695067,1.0,Sagittal,28,PF OA
27.45814573911211,-64.42762701842824,70.38228445614797,1.0,Sagittal,28,PF OA
27.56433060684305,-63.76571639480044,70.42683093234528,1.0,Sagittal,28,PF OA
27.670515474573993,-63.10380577117264,70.4713774085426,1.0,Sagittal,28,PF OA
26.088565994618833,-72.98908612664394,69.1328177435695,1.0,Sagittal,28,PF OA
26.194750862349775,-72.32717550301614,69.17736421976682,1.0,Sagittal,28,PF OA
26.300935730080717,-71.66526487938833,69.22191069596413,1.0,Sagittal,28,PF OA
26.407120597811655,-71.00335425576054,69.26645717216144,1.0,Sagittal,28,PF OA
26.5133054655426,-70.34144363213272,69.31100364835875,1.0,Sagittal,28,PF OA
26.61949033327354,-69.67953300850493,69.35555012455606,1.0,Sagittal,28,PF OA
26.725675201004485,-69.01762238487713,69.40009660075336,1.0,Sagittal,28,PF OA
26.938044936466365,-67.69380113762152,69.48918955314798,1.0,Sagittal,28,PF OA
26.417944133820626,-70.9599752568148,68.59609465014799,1.0,Sagittal,28,PF OA
27.044229804197307,-67.03189051399372,69.53373602934529,1.0,Sagittal,28,PF OA
27.15041467192825,-66.36997989036591,69.5782825055426,1.0,Sagittal,28,PF OA
27.25659953965919,-65.70806926673811,69.62282898173991,1.0,Sagittal,28,PF OA
27.362784407390134,-65.0461586431103,69.66737545793723,1.0,Sagittal,28,PF OA
27.468969275121076,-64.3842480194825,69.71192193413452,1.0,Sagittal,28,PF OA
27.575154142852014,-63.7223373958547,69.75646841033183,1.0,Sagittal,28,PF OA
27.68133901058296,-63.0604267722269,69.80101488652915,1.0,Sagittal,28,PF OA
26.099389530627803,-72.9457071276982,68.46245522155606,1.0,Sagittal,28,PF OA
26.205574398358745,-72.2837965040704,68.50700169775337,1.0,Sagittal,28,PF OA
26.311759266089688,-71.62188588044259,68.55154817395068,1.0,Sagittal,28,PF OA
26.894750792430493,-67.86731713340448,72.17063964120179,1.0,Sagittal,28,PF OA
26.788565924699554,-68.52922775703229,72.12609316500448,1.0,Sagittal,28,PF OA
26.68238105696861,-69.19113838066009,72.08154668880717,1.0,Sagittal,28,PF OA
26.532902045201794,-70.02656500007086,74.71845030066368,1.0,Sagittal,28,PF OA
27.159187715578476,-66.09848025724978,75.65609167986099,1.0,Sagittal,28,PF OA
